project_idx,byte_base_mtr_rel,byte_base_abs,master_count,master_A_count,master_B_count,master_slots
30,0x0055A58000,0x00000155909400,14,12,2,0x9D00;0xA7C0;0xA800;0xA840;0xAB80;0xAE00;0xB100;0xB380;0xB640;0xB680;0xB700;0xB900;0xBB80;0xBBC0
31,0x0056B80000,0x00000156A31400,2,2,0,0x9D00;0xB9C0
32,0x0059DF0000,0x00000159CA1400,5,4,1,0x9D00;0xAF40;0xAFC0;0xB980;0xC380
33,0x0063F48000,0x00000163DF9400,4,2,2,0x9D00;0xBBC0;0xBD40;0xCB80
34,0x0064F50000,0x00000164E01400,4,3,1,0x9E80;0x9EC0;0xA400;0xB100
35,0x0066D98000,0x00000166C49400,4,1,3,0xA000;0xA640;0xAD40;0xB100
36,0x0068AD8000,0x00000168989400,3,0,3,0xA240;0xA700;0xB200
37,0x006BB50000,0x0000016BA01400,2,0,2,0x9D00;0xD7C0
38,0x006D788000,0x0000016D639400,1,1,0,0xA1C0
39,0x006FB58000,0x0000016FA09400,2,0,2,0xA280;0xAE00
40,0x0073C20000,0x00000173AD1400,5,3,2,0xA480;0xA780;0xAE40;0xBBC0;0xBC00
41,0x00740B8000,0x00000173F69400,22,15,7,0x9AC0;0x9D00;0xA500;0xAF80;0xB040;0xB140;0xC380;0xC440;0xD880;0xD940;0xDA00;0xF140;0xF9C0;0xFC40;0xFD00;0xFDC0;0x10EC0;0x13180;0x13300;0x13340;0x15FC0;0x161C0
42,0x007C758000,0x0000017C609400,12,8,4,0x9D00;0xC540;0xC580;0xC5C0;0xD2C0;0xD300;0xD400;0xDCC0;0xDD00;0xDD40;0xE540;0xE580
43,0x007CF68000,0x0000017CE19400,2,0,2,0x9D00;0x116C0
44,0x007FEF0000,0x0000017FDA1400,4,1,3,0xA380;0xB000;0xBB40;0xBE00
45,0x0086490000,0x00000186341400,1,0,1,0x9F00
46,0x0086838000,0x000001866E9400,2,1,1,0xA7C0;0xAA40
47,0x008C0A0000,0x0000018BF51400,8,2,6,0x9D00;0xB1C0;0xB340;0xBD00;0xBE00;0xCC40;0xDF80;0xE000
48,0x008DB70000,0x0000018DA21400,6,3,3,0x9E80;0x9EC0;0xA680;0xA940;0xA980;0xAC80
49,0x008EC98000,0x0000018EB49400,5,2,3,0xA100;0xA3C0;0xAAC0;0xADC0;0xAE00
50,0x008EDE8000,0x0000018EC99400,4,1,3,0xA040;0xAB80;0xAF80;0xB280
51,0x0090378000,0x00000190229400,8,6,2,0xA140;0xA640;0xAB80;0xAF40;0xB300;0xB3C0;0xC140;0xC1C0
52,0x0093EB8000,0x00000193D69400,4,1,3,0xA780;0xAC00;0xAFC0;0xB7C0
53,0x0099DC8000,0x00000199C79400,2,0,2,0x9D00;0xC3C0
54,0x00ABD80000,0x000001ABC31400,12,8,4,0x9D00;0xB2C0;0xB3C0;0xC580;0xC680;0xD240;0xD280;0xD2C0;0xD440;0xDB00;0xDB80;0xDC00
55,0x00B1D50000,0x000001B1C01400,4,0,4,0x9D00;0xB840;0xB9C0;0xCE80
56,0x00B70F0000,0x000001B6FA1400,2,0,2,0x9D00;0xC740
57,0x00BBD10000,0x000001BBBC1400,1,1,0,0xA000
58,0x00BF8E0000,0x000001BF791400,6,2,4,0x9D00;0xBBC0;0xBC00;0xC740;0xC780;0xC8C0
59,0x00C53D0000,0x000001C5281400,4,4,0,0x9D00;0xACC0;0xAD00;0xAD40
60,0x00CA848000,0x000001CA6F9400,3,0,3,0x9D00;0xB5C0;0xC280
61,0x00CE700000,0x000001CE5B1400,2,2,0,0xA780;0xA7C0
62,0x00CF408000,0x000001CF2B9400,14,6,8,0xA100;0xA140;0xB340;0xB380;0xC080;0xC540;0xC580;0xD440;0xD480;0xE880;0xE9C0;0xFAC0;0x10A40;0x10AC0
63,0x00CF768000,0x000001CF619400,2,0,2,0x9D00;0xADC0
64,0x00D1568000,0x000001D1419400,2,2,0,0xA280;0xA9C0
65,0x00D2990000,0x000001D2841400,1,0,1,0xA540
66,0x00D3890000,0x000001D3741400,1,0,1,0xA2C0
67,0x00D4358000,0x000001D4209400,1,0,1,0xA000
68,0x00D4838000,0x000001D46E9400,2,0,2,0x9EC0;0xA800
69,0x00D8660000,0x000001D8511400,1,0,1,0xB640
70,0x00DB0F0000,0x000001DAFA1400,4,4,0,0x9D00;0xA440;0xA4C0;0xA8C0
71,0x00DBFD8000,0x000001DBE89400,3,1,2,0xA040;0xA940;0xB180
72,0x00DE048000,0x000001DDEF9400,16,13,3,0x9D00;0xA440;0xA4C0;0xA5C0;0xA940;0xA980;0xB240;0xB280;0xB2C0;0xB3C0;0xB800;0xB840;0xC000;0xC040;0xC080;0xC880
73,0x00E1A50000,0x000001E1901400,3,1,2,0x9D00;0xAF40;0xB480
74,0x00E4888000,0x000001E4739400,2,0,2,0x9D00;0xC040
75,0x00EB890000,0x000001EB741400,5,4,1,0xAA40;0xB840;0xB980;0xC680;0xDA40
76,0x00EBB78000,0x000001EBA29400,2,2,0,0x9D00;0xC540
77,0x00F0498000,0x000001F0349400,4,0,4,0x9D00;0xB140;0xB2C0;0xC000
78,0x00F4B48000,0x000001F49F9400,7,7,0,0xA680;0xA780;0xBA80;0xBB40;0xC600;0xC9C0;0xDA40
79,0x00FABF0000,0x000001FAAA1400,2,2,0,0x9D00;0xA5C0
80,0x00FBBB0000,0x000001FBA61400,6,4,2,0x9D00;0xA440;0xA980;0xA9C0;0xAE40;0xB240
81,0x00FD680000,0x000001FD531400,2,2,0,0x9D00;0xB640
82,0x0100290000,0x00000200141400,9,2,7,0xA580;0xAF00;0xB380;0xB3C0;0xB7C0;0xBB00;0xBF00;0xC380;0xC880
83,0x0103F80000,0x00000203E31400,7,5,2,0xAF40;0xB040;0xB440;0xB600;0xB680;0xC140;0xC180
84,0x0107130000,0x00000206FE1400,6,5,1,0x9D00;0xA840;0xAB00;0xAB40;0xABC0;0xB980
85,0x010A880000,0x0000020A731400,2,0,2,0x9D00;0xE540
86,0x0112D70000,0x00000212C21400,2,2,0,0x9D00;0x156C0
87,0x0128670000,0x00000228521400,3,1,2,0x9D00;0xA1C0;0xA500
88,0x0129000000,0x00000228EB1400,4,4,0,0x9D00;0xA6C0;0xA840;0xBE00
89,0x012C660000,0x0000022C511400,6,5,1,0x9D00;0xA1C0;0xA500;0xA540;0xA5C0;0xA880
90,0x012E058000,0x0000022DF09400,2,2,0,0x9D00;0xA7C0
91,0x012F1C8000,0x0000022F079400,7,2,5,0x9D00;0xBE40;0xC580;0xD240;0xD440;0xDA40;0x10BC0
92,0x01362A8000,0x00000236159400,1,0,1,0xA780
93,0x013C008000,0x0000023BEB9400,1,0,1,0x9F40
94,0x013CA10000,0x0000023C8C1400,4,3,1,0xA580;0xA9C0;0xAA00;0xAFC0
95,0x013E570000,0x0000023E421400,1,1,0,0xA580
96,0x013F560000,0x0000023F411400,2,2,0,0x9D00;0xC2C0
97,0x0146A90000,0x00000246941400,3,1,2,0xA1C0;0xB0C0;0xB100
98,0x0148A88000,0x00000248939400,2,1,1,0xA200;0xA740
99,0x0149AD8000,0x00000249989400,1,1,0,0xBD00
100,0x014D7E0000,0x0000024D691400,3,1,2,0xA840;0xB480;0xBA40
101,0x0150828000,0x000002506D9400,4,4,0,0x9D00;0xA540;0xA580;0xA5C0
102,0x0153A98000,0x00000253949400,4,2,2,0x9D00;0xABC0;0xACC0;0xB500
103,0x0156108000,0x00000255FB9400,4,2,2,0x9D00;0xAAC0;0xABC0;0xD180
104,0x015BB50000,0x0000025BA01400,2,0,2,0xAE00;0xAE40
105,0x015BCA0000,0x0000025BB51400,2,0,2,0x9D00;0xACC0
106,0x01678F8000,0x000002677A9400,2,0,2,0xA4C0;0xAE00
107,0x0172398000,0x00000272249400,3,0,3,0x9E00;0xB980;0xC740
108,0x01767D8000,0x00000276689400,7,0,7,0x9D00;0xA6C0;0xA840;0xACC0;0xB300;0xB900;0xBF00
109,0x0179CA0000,0x00000279B51400,5,3,2,0xA240;0xA880;0xB200;0xB240;0xB8C0
110,0x017C730000,0x0000027C5E1400,1,0,1,0xAF40
111,0x017E9F8000,0x0000027E8A9400,2,0,2,0x9D00;0xD240
112,0x017FD60000,0x0000027FC11400,4,2,2,0xAB40;0xBA40;0xC400;0xCC80
113,0x0185970000,0x00000285821400,6,0,6,0x9D00;0x9DC0;0xAC40;0xB580;0xBE00;0xC680
114,0x018F5E8000,0x0000028F499400,5,2,3,0xA7C0;0xB580;0xC840;0xC880;0xC8C0
115,0x0193AA0000,0x00000293951400,2,0,2,0x9D00;0xB2C0
116,0x0198018000,0x00000297EC9400,7,7,0,0x9D00;0xAB40;0xACC0;0xB680;0xBA40;0xBB40;0xC7C0
117,0x019E9C0000,0x0000029E871400,1,0,1,0xADC0
118,0x01A32B0000,0x000002A3161400,2,0,2,0x9D00;0xBBC0
119,0x01A6940000,0x000002A67F1400,2,2,0,0x9D00;0xB2C0
120,0x01AF2F8000,0x000002AF1A9400,2,0,2,0x9D00;0x12740
121,0x01B2718000,0x000002B25C9400,6,2,4,0x9F40;0xA300;0xA400;0xA8C0;0xABC0;0xB040
122,0x01B6840000,0x000002B66F1400,3,1,2,0xA780;0xB540;0xB580
123,0x01B7C08000,0x000002B7AB9400,11,5,6,0xA100;0xA640;0xBB00;0xBB40;0xBF80;0xC040;0xC800;0xC880;0xCC80;0xD100;0xD180
124,0x01C6440000,0x000002C62F1400,2,2,0,0x9D00;0xADC0
125,0x01CB0F0000,0x000002CAFA1400,4,2,2,0x9F80;0xA040;0xCC40;0xCCC0
126,0x01D4120000,0x000002D3FD1400,7,6,1,0x9D00;0xAA00;0xAAC0;0xB680;0xCA80;0xCC00;0xDFC0
127,0x01D42A0000,0x000002D4151400,12,4,8,0x9D00;0x1D640;0x1D740;0x20280;0x21100;0x21140;0x21D00;0x21D40;0x228C0;0x22900;0x22F00;0x22F40
128,0x01EBE38000,0x000002EBCE9400,2,0,2,0xA440;0xAA40
129,0x01EC438000,0x000002EC2E9400,5,4,1,0x9D00;0xA7C0;0xA840;0xA940;0xB240
130,0x0204AC8000,0x00000304979400,4,4,0,0xA200;0xA7C0;0xAD00;0xAD40
131,0x02068E0000,0x00000306791400,4,3,1,0xA280;0xAD40;0xB340;0xB700
132,0x0208C50000,0x00000308B01400,2,0,2,0x9D00;0x104C0
133,0x0215BB0000,0x00000315A61400,2,0,2,0x9D00;0x11EC0
134,0x0224D90000,0x00000324C41400,1,0,1,0x10E00
135,0x0232050000,0x00000331F01400,2,0,2,0x9D00;0x13140
136,0x02432D0000,0x00000343181400,1,1,0,0xA2C0
137,0x0243DB0000,0x00000343C61400,1,1,0,0xAA00
138,0x0245520000,0x000003453D1400,2,0,2,0x9D00;0x143C0
139,0x0258B70000,0x00000358A21400,2,0,2,0x9D00;0xAEC0
140,0x025AB20000,0x0000035A9D1400,2,0,2,0x9D00;0xD940
141,0x0261990000,0x00000361841400,2,0,2,0x9D00;0xE840
142,0x026A3C0000,0x0000036A271400,5,5,0,0x9D00;0xB940;0xC840;0xD100;0xD880
143,0x0270558000,0x00000370409400,8,1,7,0xA240;0xA840;0xA980;0xAE40;0xB840;0xBD80;0xC200;0xC600
144,0x0272B08000,0x000003729B9400,2,0,2,0x9D00;0xAA40
145,0x02740F8000,0x00000373FA9400,4,1,3,0xB2C0;0xB340;0xBD40;0xC840
146,0x0278CB8000,0x00000378B69400,2,0,2,0x9D00;0xB9C0
147,0x027BF88000,0x0000037BE39400,2,0,2,0x9D00;0xAAC0
148,0x027E538000,0x0000037E3E9400,4,0,4,0xD280;0xD2C0;0xF800;0xF840
149,0x0288558000,0x00000388409400,2,2,0,0x9D00;0x14DC0
150,0x029CD78000,0x0000039CC29400,2,0,2,0x9D00;0x13240
151,0x02AE1A8000,0x000003AE059400,2,0,2,0x9D00;0xBDC0
152,0x02B1C58000,0x000003B1B09400,4,1,3,0xA380;0xAC00;0xBF80;0xC2C0
